J.uAcm2_0.63_initialCA,¦Ö,Ne,r£¨2+£©,VNe,Mn,Ni,Mg,Ca,Fe,La,Y,In
4667.185714,1.605,28.9,0.728,7.3,0.6,0.2,0,0,0.1,0.1,0,0
2640.07619,1.433,31,0.816,5.8,0.6,0,0,0.1,0.1,0.2,0,0
3975.861905,1.423,27.3,0.788,5.7,0.6,0,0,0.2,0.1,0.1,0,0
2027.104762,1.61,23.3,0.64,6.9,0.5,0.3,0.2,0,0,0,0,0
1622.133333,1.419,33.4,0.826,5.4,0.5,0,0.1,0,0.1,0.3,0,0
1899.1,1.814,26.1,0.668,8.9,0.1,0.8,0.1,0,0,0,0,0
2019.361905,1.193,21.6,0.888,3.6,0.2,0,0,0.7,0.1,0,0,0
2310.019048,1.661,28.4,0.722,7.6,0.3,0.5,0.1,0,0,0.1,0,0
2965.238095,1.593,27.3,0.688,6.5,0.4,0,0.1,0,0.4,0.1,0,0
1731.921429,1.327,15.4,0.576,3,0.2,0,0.7,0.1,0,0,0,0
1977.471429,1.288,36.9,0.968,4.5,0.3,0,0,0.2,0.1,0.4,0,0
2513.714286,1.395,32.1,0.808,4.9,0.4,0,0.2,0,0.1,0.3,0,0
1316.642857,1.327,47.9,1.08,4.7,0,0.1,0,0,0.2,0.7,0,0
1490.033333,1.299,22,0.722,3.6,0.3,0,0.4,0.2,0,0.1,0,0
1001.418095,1.592,30.3,0.764,6.7,0.1,0.5,0.2,0,0,0.2,0,0
874.9119048,1.246,39.2,0.984,4,0.3,0,0.1,0.1,0,0.5,0,0
670.142381,1.516,27.5,0.798,5.9,0,0.1,0,0.3,0.5,0.1,0,0
2889.880952,1.316,25.4,0.808,4.6,0.5,0,0.1,0.3,0,0.1,0,0
1818.957143,1.288,30.2,0.828,3.8,0.3,0,0.3,0.1,0,0.3,0,0
2777.780952,1.742,26.2,0.658,8.2,0.4,0.3,0,0,0.3,0,0,0
2885.561905,1.533,28.3,0.724,6.7,0.8,0,0,0,0.1,0.1,0,0
1647.547619,1.677,26.9,0.676,6.9,0,0.3,0.2,0,0.4,0.1,0,0
1410.628571,1.334,33.4,0.928,4.6,0.1,0,0,0.3,0.3,0.3,0,0
891.0604762,1.5,27.2,0.718,5.2,0,0.3,0.4,0,0.1,0.2,0,0
3270.785714,1.526,23.7,0.652,6.5,0.9,0,0.1,0,0,0,0,0
1281.680952,1.241,29.1,0.938,3.9,0.1,0,0,0.5,0.2,0.2,0,0
1495.466667,1.535,34.5,0.84,6.5,0.2,0.4,0.1,0,0,0.3,0,0
3868.435714,1.559,24.9,0.698,6.9,0.7,0.1,0,0.1,0.1,0,0,0
745.7171429,1.639,29.1,0.8,7.5,0,0.6,0,0.2,0.1,0.1,0,0
2574.37381,1.372,18.9,0.656,4.1,0.3,0,0.4,0.2,0.1,0,0,0
2617.290476,1.641,29.2,0.73,7.6,0.5,0.3,0,0,0.1,0.1,0,0
874.7714286,1.773,29.5,0.692,7.9,0,0.2,0,0,0.7,0.1,0,0
2996.857143,1.506,27.9,0.75,6.3,0.6,0,0,0.1,0.2,0.1,0,0
2366.72381,1.381,29.6,0.804,5.2,0.6,0,0.1,0.1,0,0.2,0,0
695.567619,1.599,28.1,0.76,6.5,0,0.1,0,0.2,0.6,0.1,0,0
1901.27619,1.557,23.7,0.636,5.3,0,0.1,0.4,0,0.4,0.1,0,0
3890.337493,1.634,24.6,0.658,7.4,0.6,0.3,0.1,0,0,0,0,0
1451.795238,1.437,23.1,0.652,4.7,0.4,0,0.4,0,0.1,0.1,0,0
3208.82381,1.416,22.7,0.716,5.5,0.7,0,0.1,0.2,0,0,0,0
693.24,1.178,29.2,0.892,2.8,0.1,0,0.3,0.3,0,0.3,0,0
673.3938095,1.23,23.9,0.764,2.7,0.1,0,0.5,0.2,0,0.2,0,0
980.4971429,1.398,41.3,0.994,5.3,0,0.2,0,0.1,0.2,0.5,0,0
1350.714286,1.59,28.2,0.732,6.6,0.3,0,0,0.1,0.5,0.1,0,0
3046.785714,1.778,26.5,0.66,8.5,0.3,0.4,0,0,0.3,0,0,0
4496.480952,1.595,25.2,0.7,7.2,0.6,0.2,0,0.1,0.1,0,0,0
2831.438095,1.337,20.9,0.73,4.5,0.5,0,0.2,0.3,0,0,0,0
2994.390476,1.54,24.7,0.732,6.7,0.5,0.2,0,0.2,0.1,0,0,0
1964.252381,1.513,27.6,0.81,6,0.4,0,0,0.1,0.3,0,0.2,0
829.0190476,1.368,30.2,0.91,5,0,0.2,0,0.4,0.2,0.2,0,0
1700.242857,1.4,26.5,0.72,4.5,0.3,0.1,0.4,0,0,0.2,0,0
2929.542857,1.651,25.4,0.688,7.4,0.4,0.2,0,0.1,0.3,0,0,0
1211.085714,1.527,31.2,0.948,6,0,0.3,0,0.1,0.2,0,0.4,0
2903.038095,1.726,25.1,0.648,7.9,0.3,0.4,0.1,0,0.2,0,0,0
3838.72381,1.44,28.9,0.748,5.3,0.5,0,0.2,0,0.1,0.2,0,0
2698.857143,1.551,24.7,0.69,6.7,0.7,0,0,0.1,0.2,0,0,0
2203.871429,1.548,21.6,0.69,6,0,0.5,0.3,0.2,0,0,0,0
3937.357143,1.638,24.1,0.628,6.9,0.5,0,0.1,0,0.4,0,0,0
905.2030952,1.352,23.9,0.684,3.5,0.1,0.1,0.6,0,0,0.2,0,0
1210.033333,1.456,32.7,0.854,5.5,0,0.4,0.2,0.1,0,0.3,0,0
2006.138095,1.296,42,0.99,4,0,0.1,0.2,0,0.1,0.6,0,0
3311.314286,1.75,26.4,0.666,8.4,0.4,0.4,0,0,0.2,0,0,0
2089.128571,1.562,28.1,0.738,6.5,0.4,0,0,0.1,0.4,0.1,0,0
3322.942857,1.59,24.1,0.648,6.9,0.7,0.1,0.1,0,0.1,0,0,0
3231.038095,1.371,25.9,0.776,5.1,0.6,0,0.1,0.2,0,0.1,0,0
3586.352381,1.478,27.8,0.756,6.2,0.7,0,0,0.1,0.1,0.1,0,0
2297.504762,1.511,30.8,0.932,5.6,0,0.1,0,0.1,0.4,0,0.4,0
1759.780952,1.489,31.2,0.804,6,0.4,0,0,0.1,0.3,0.2,0,0
694.5414286,1.458,36.9,0.868,5.3,0.1,0,0.1,0,0.4,0.4,0,0
3958.009524,1.524,24.3,0.716,6.3,0.5,0,0,0.2,0.3,0,0,0
3023.947619,1.576,25,0.734,7,0.4,0.3,0,0.2,0.1,0,0,0
1746.028571,1.519,26.6,0.763,5.8,0.5,0,0,0.2,0.2,0,0,0.1
2228.57381,1.659,25.6,0.696,7.6,0.4,0.3,0,0.1,0.2,0,0,0
3135.680952,1.587,25,0.692,7,0.6,0.1,0,0.1,0.2,0,0,0
1772.128571,1.421,20.5,0.718,4.9,0.1,0.3,0.3,0.3,0,0,0,0
2772.769048,1.449,23.9,0.762,5.9,0.5,0.1,0,0.3,0.1,0,0,0
2097.528571,1.447,33.5,0.82,5.5,0.4,0,0.1,0,0.2,0.3,0,0
1450.704762,1.846,26.4,0.626,8.4,0,0.2,0,0,0.8,0,0,0
3422.345238,1.414,23.3,0.78,5.3,0.3,0,0,0.4,0.3,0,0,0
724.1633333,1.477,34.9,0.916,6.1,0,0.4,0,0.2,0.1,0.3,0,0
1685.733333,1.535,27.7,0.764,6.1,0.2,0,0,0.2,0.5,0.1,0,0
375.2033333,1.539,33.3,0.816,6.1,0,0.4,0.2,0,0.1,0.3,0,0
606.1442857,1.278,26.5,0.8,3.7,0.3,0,0.3,0.2,0,0.2,0,0
3131.933333,1.464,30.2,0.766,5.8,0.6,0,0.1,0,0.1,0.2,0,0
4019.183333,1.552,24.4,0.71,6.4,0.4,0,0,0.2,0.4,0,0,0
407.6114286,1.389,33.4,1.07,4.6,0,0.1,0,0.1,0.2,0,0.6,0
484.557619,1.294,38.5,0.97,4.1,0,0.2,0.2,0.1,0,0.5,0,0
1330.980952,1.225,21.3,0.788,2.9,0,0.1,0.4,0.4,0,0.1,0,0
2244.516667,1.352,24.9,0.829,5.1,0.6,0,0,0.3,0,0,0.1,0
1660.647619,1.306,33.3,0.934,4.5,0.2,0,0,0.3,0.2,0.3,0,0
2351.209524,1.653,28.9,0.708,7.3,0.4,0.1,0,0,0.4,0.1,0,0
961.6066667,1.367,28.7,0.764,3.9,0,0.2,0.5,0,0,0.3,0,0
879.2790476,1.281,32.3,0.896,4.3,0.4,0,0.1,0.2,0,0.3,0,0
2250.057143,1.694,26.2,0.678,8.2,0.6,0.4,0,0,0,0,0,0
1041.348095,1.56,28.8,0.738,6,0,0.4,0.3,0,0.1,0.2,0,0
3941.02381,1.549,25.3,0.703,6.3,0.6,0,0.1,0,0.2,0,0.1,0
2567.266667,1.645,27.2,0.725,7.4,0.5,0.2,0,0,0.2,0,0.1,0
2877.695238,1.643,25.2,0.68,7.2,0.4,0.1,0,0.1,0.4,0,0,0
1037.818571,1.277,29.4,0.94,4.2,0,0.1,0,0.5,0.2,0.2,0,0
2542.290476,1.687,25.7,0.69,7.7,0.3,0.3,0,0.1,0.3,0,0,0
2399.62381,1.714,26.1,0.664,8.1,0.5,0.3,0,0,0.2,0,0,0
3329.592857,1.618,24.2,0.642,7,0.6,0.1,0.1,0,0.2,0,0,0
1274.171429,1.548,30.5,0.748,6.1,0.3,0,0.1,0,0.4,0.2,0,0
706.04,1.479,35,0.846,6.2,0.5,0.1,0,0,0.1,0.3,0,0
1776.288095,1.36,34.1,0.882,5.3,0.6,0,0,0.1,0,0.3,0,0
492.0219048,1.477,28.2,0.776,5.4,0,0.4,0.3,0.1,0,0.2,0,0
878.1928571,1.563,27.8,0.758,6.2,0.1,0,0,0.2,0.6,0.1,0,0
2021.171429,1.264,28.9,0.81,3.3,0.2,0,0.4,0.1,0,0.3,0,0
835.8214286,1.453,34.3,0.892,5.5,0,0.1,0,0.2,0.4,0.3,0,0
2705.82381,1.617,28.6,0.706,7,0.5,0,0,0,0.4,0.1,0,0
2334.9,1.458,27.1,0.842,5.5,0.3,0,0,0.2,0.3,0,0.2,0
3741.395238,1.698,25.7,0.648,7.7,0.5,0.1,0,0,0.4,0,0,0
